Itemset: [220], Utility: 20756.00
Itemset: [60], Utility: 21466.00
Itemset: [47], Utility: 24300.00
Itemset: [110], Utility: 21181.00
Itemset: [120], Utility: 21595.00
Itemset: [200], Utility: 21341.00
Itemset: [1464], Utility: 23860.00
Itemset: [170], Utility: 27690.00
Itemset: [270], Utility: 20251.00
Itemset: [7], Utility: 23116.00
Itemset: [157], Utility: 25958.00
Itemset: [20], Utility: 25320.00
Itemset: [80], Utility: 32657.00
Itemset: [1491], Utility: 24965.00
Itemset: [550], Utility: 23535.00
Itemset: [134], Utility: 23840.00
Itemset: [450], Utility: 29920.00
Itemset: [567], Utility: 22727.00
Itemset: [84], Utility: 24034.00
Itemset: [580], Utility: 24134.00
Itemset: [1101], Utility: 21738.00
Itemset: [91], Utility: 21247.00
Itemset: [640], Utility: 21903.00
Itemset: [50], Utility: 33253.00
Itemset: [520], Utility: 26823.00
Itemset: [17], Utility: 27382.00
Itemset: [117], Utility: 26777.00
Itemset: [130], Utility: 23102.00
Itemset: [150], Utility: 30968.00
Itemset: [420], Utility: 24416.00
Itemset: [237], Utility: 24221.00
Itemset: [800], Utility: 26505.00
Itemset: [197], Utility: 25881.00
Itemset: [1321], Utility: 21307.00
Itemset: [44], Utility: 29014.00
Itemset: [77], Utility: 25323.00
Itemset: [507], Utility: 23008.00
Itemset: [1017], Utility: 21987.00
Itemset: [860], Utility: 21660.00
Itemset: [607], Utility: 25262.00
Itemset: [71], Utility: 23095.00
Itemset: [1131], Utility: 23461.00
Itemset: [1001], Utility: 21326.00
Itemset: [570], Utility: 23604.00
Itemset: [227], Utility: 20602.00
Itemset: [577], Utility: 26293.00
Itemset: [667], Utility: 22532.00
Itemset: [480], Utility: 20159.00
Itemset: [1411], Utility: 20828.00
Itemset: [1071], Utility: 23681.00
Itemset: [630], Utility: 26116.00
Itemset: [1501], Utility: 26374.00
Itemset: [1081], Utility: 26575.00
Itemset: [1541], Utility: 29527.00
Itemset: [517], Utility: 28931.00
Itemset: [27], Utility: 26158.00
Itemset: [830], Utility: 24074.00
Itemset: [610], Utility: 24189.00
Itemset: [427], Utility: 21434.00
Itemset: [4], Utility: 29790.00
Itemset: [54], Utility: 27730.00
Itemset: [527], Utility: 23724.00
Itemset: [377], Utility: 21970.00
Itemset: [530], Utility: 33744.00
Itemset: [774], Utility: 21977.00
Itemset: [190], Utility: 36502.00
Itemset: [194], Utility: 29562.00
Itemset: [911], Utility: 20145.00
Itemset: [214], Utility: 26025.00
Itemset: [990], Utility: 29022.00
Itemset: [871], Utility: 22775.00
Itemset: [464], Utility: 27857.00
Itemset: [574], Utility: 23545.00
Itemset: [1537], Utility: 21458.00
Itemset: [251], Utility: 20834.00
Itemset: [81], Utility: 20292.00
Itemset: [234], Utility: 25268.00
Itemset: [780], Utility: 28346.00
Itemset: [1160], Utility: 23480.00
Itemset: [957], Utility: 24407.00
Itemset: [1027], Utility: 21248.00
Itemset: [910], Utility: 20522.00
Itemset: [457], Utility: 24687.00
Itemset: [1404], Utility: 25645.00
Itemset: [354], Utility: 22189.00
Itemset: [931], Utility: 20182.00
Itemset: [461], Utility: 25570.00
Itemset: [681], Utility: 21131.00
Itemset: [137], Utility: 36428.00
Itemset: [164], Utility: 28001.00
Itemset: [317], Utility: 23768.00
Itemset: [1010], Utility: 25605.00
Itemset: [474], Utility: 31022.00
Itemset: [1117], Utility: 30899.00
Itemset: [250], Utility: 32782.00
Itemset: [534], Utility: 29533.00
Itemset: [1457], Utility: 28740.00
Itemset: [600], Utility: 24929.00
Itemset: [447], Utility: 28984.00
Itemset: [1554], Utility: 27067.00
Itemset: [367], Utility: 35326.00
Itemset: [487], Utility: 26118.00
Itemset: [1534], Utility: 26285.00
Itemset: [1474], Utility: 21151.00
Itemset: [970], Utility: 28446.00
Itemset: [1170], Utility: 23039.00
Itemset: [1000], Utility: 25490.00
Itemset: [891], Utility: 24485.00
Itemset: [21], Utility: 23939.00
Itemset: [1034], Utility: 24763.00
Itemset: [811], Utility: 25973.00
Itemset: [1527], Utility: 29471.00
Itemset: [1341], Utility: 32104.00
Itemset: [321], Utility: 23722.00
Itemset: [584], Utility: 24808.00
Itemset: [151], Utility: 27298.00
Itemset: [1331], Utility: 28785.00
Itemset: [764], Utility: 32750.00
