Itemset: [80], Utility: 32657.00
Itemset: [50], Utility: 33253.00
Itemset: [150], Utility: 30968.00
Itemset: [530], Utility: 33744.00
Itemset: [190], Utility: 36502.00
Itemset: [137], Utility: 36428.00
Itemset: [474], Utility: 31022.00
Itemset: [1117], Utility: 30899.00
Itemset: [250], Utility: 32782.00
Itemset: [367], Utility: 35326.00
Itemset: [1341], Utility: 32104.00
Itemset: [764], Utility: 32750.00
Itemset: [320], Utility: 33641.00
Itemset: [300], Utility: 31655.00
Itemset: [104], Utility: 35492.00
Itemset: [1421], Utility: 30116.00
Itemset: [467], Utility: 36809.00
Itemset: [614], Utility: 33007.00
Itemset: [484], Utility: 32586.00
Itemset: [184], Utility: 33563.00
Itemset: [407], Utility: 34423.00
Itemset: [950], Utility: 32033.00
Itemset: [330], Utility: 40832.00
Itemset: [1201], Utility: 34402.00
Itemset: [1241], Utility: 31006.00
Itemset: [1171], Utility: 32636.00
Itemset: [390], Utility: 40092.00
Itemset: [470], Utility: 31949.00
Itemset: [1231], Utility: 37114.00
Itemset: [491], Utility: 30578.00
Itemset: [1077], Utility: 33822.00
Itemset: [1114], Utility: 31493.00
Itemset: [1157], Utility: 34844.00
Itemset: [744], Utility: 35569.00
Itemset: [587], Utility: 32108.00
Itemset: [417], Utility: 31966.00
Itemset: [1281], Utility: 30158.00
Itemset: [1497], Utility: 30538.00
Itemset: [1431], Utility: 33466.00
Itemset: [1311], Utility: 33124.00
Itemset: [11], Utility: 37000.00
Itemset: [1430], Utility: 32045.00
Itemset: [1271], Utility: 35344.00
Itemset: [1011], Utility: 32294.00
Itemset: [414], Utility: 30156.00
Itemset: [264], Utility: 30251.00
Itemset: [1254], Utility: 34783.00
Itemset: [1121], Utility: 36884.00
Itemset: [551], Utility: 33818.00
Itemset: [674], Utility: 31150.00
Itemset: [277], Utility: 30344.00
Itemset: [691], Utility: 30194.00
Itemset: [991], Utility: 33998.00
Itemset: [444], Utility: 30015.00
Itemset: [1211], Utility: 39135.00
Itemset: [554], Utility: 32608.00
Itemset: [901], Utility: 32006.00
Itemset: [1094], Utility: 33198.00
Itemset: [1070], Utility: 37830.00
Itemset: [641], Utility: 37152.00
Itemset: [1310], Utility: 37921.00
Itemset: [1251], Utility: 39505.00
Itemset: [717], Utility: 38135.00
Itemset: [141], Utility: 36936.00
Itemset: [997], Utility: 33041.00
Itemset: [231], Utility: 31076.00
Itemset: [1047], Utility: 34002.00
Itemset: [844], Utility: 32463.00
Itemset: [781], Utility: 35608.00
Itemset: [671], Utility: 31020.00
Itemset: [777], Utility: 37302.00
Itemset: [111], Utility: 35730.00
Itemset: [1161], Utility: 41315.00
Itemset: [907], Utility: 33218.00
Itemset: [544], Utility: 31404.00
Itemset: [1424], Utility: 38986.00
Itemset: [351], Utility: 32108.00
Itemset: [1427], Utility: 32805.00
Itemset: [834], Utility: 30635.00
Itemset: [1454], Utility: 39058.00
Itemset: [924], Utility: 31200.00
Itemset: [1447], Utility: 30765.00
Itemset: [1150], Utility: 30884.00
Itemset: [711], Utility: 30454.00
Itemset: [847], Utility: 37314.00
Itemset: [1324], Utility: 38450.00
Itemset: [1290], Utility: 33281.00
Itemset: [1367], Utility: 35796.00
Itemset: [1327], Utility: 35692.00
Itemset: [221], Utility: 34276.00
Itemset: [714], Utility: 30074.00
Itemset: [1197], Utility: 32912.00
Itemset: [521], Utility: 35427.00
Itemset: [1091], Utility: 39816.00
Itemset: [261], Utility: 38167.00
Itemset: [481], Utility: 30143.00
Itemset: [1467], Utility: 42927.00
Itemset: [731], Utility: 40743.00
Itemset: [1357], Utility: 30566.00
Itemset: [1417], Utility: 39182.00
Itemset: [274], Utility: 45638.00
Itemset: [1024], Utility: 41428.00
Itemset: [421], Utility: 34446.00
Itemset: [1440], Utility: 30057.00
Itemset: [941], Utility: 43535.00
Itemset: [394], Utility: 34825.00
Itemset: [1540], Utility: 35687.00
Itemset: [1180], Utility: 40914.00
Itemset: [937], Utility: 40225.00
Itemset: [1387], Utility: 37064.00
Itemset: [880], Utility: 39113.00
Itemset: [884], Utility: 31518.00
Itemset: [1380], Utility: 46121.00

Thời gian chạy thuật toán: 11.224894 giây
Bộ nhớ sử dụng: 20530 KB
